"",f.value,p.value,-log10(p),FDR,Fisher's LSD
875.435809820723,5.5673,2.3606e-06,5.627,0.01168,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; rtb_bcg - ltb_bcg; sim_bcg - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; rtb_bcg - ltb_bl; ptb_bcg - ltb_ppd; ltb_ppd - ptb_bl; ltb_ppd - rtb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; rtb_bcg - ptb_bl; rtb_bcg - rtb_bl; rtb_bcg - rtb_ppd; rtb_bcg - sim_bl; rtb_bcg - sim_ppd
796.401133252289,5.5429,2.5121e-06,5.6,0.01168,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; ptb_bl - ltb_bcg; ptb_ppd - ltb_bcg; rtb_bcg - ltb_bcg; rtb_bl - ltb_bcg; sim_bl - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; ptb_bl - ltb_bl; ptb_ppd - ltb_bl; rtb_bcg - ltb_bl; rtb_bl - ltb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_ppd; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_ppd; ptb_bl - rtb_ppd; ptb_bl - sim_bcg; ptb_bl - sim_ppd; ptb_ppd - rtb_ppd; ptb_ppd - sim_ppd; rtb_bcg - rtb_ppd; rtb_bcg - sim_ppd; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_ppd; sim_bl - rtb_ppd
485.022591975769,5.5385,2.5401e-06,5.5951,0.01168,ptb_ppd - ltb_bcg; ptb_ppd - ltb_bl; rtb_bl - ltb_bl; ptb_ppd - ltb_ppd; rtb_bl - ltb_ppd; ptb_ppd - ptb_bcg; rtb_bl - ptb_bcg; ptb_ppd - ptb_bl; rtb_bl - ptb_bl; ptb_ppd - rtb_bcg; ptb_ppd - rtb_bl; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; ptb_ppd - sim_ppd; rtb_bl - rtb_bcg; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_ppd
734.454242420983,5.5215,2.6532e-06,5.5762,0.011692,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; rtb_bcg - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; rtb_bcg - ltb_bl; ptb_bcg - ltb_ppd; ltb_ppd - ptb_bl; ltb_ppd - rtb_bl; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; rtb_bcg - ptb_bl; rtb_bcg - rtb_bl; rtb_bcg - sim_bcg; rtb_bcg - sim_bl; rtb_bcg - sim_ppd
704.696062183931,5.4672,3.0482e-06,5.516,0.012882,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; ptb_bl - ltb_bcg; ptb_ppd - ltb_bcg; rtb_bcg - ltb_bcg; rtb_bl - ltb_bcg; rtb_ppd - ltb_bcg; sim_ppd - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; ptb_bl - ltb_bl; ptb_ppd - ltb_bl; rtb_bcg - ltb_bl; rtb_bl - ltb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; ptb_bl - rtb_ppd; ptb_bl - sim_bcg; ptb_bl - sim_bl; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_bl; rtb_bl - sim_ppd
1252.90185230817,5.4445,3.2303e-06,5.4908,0.012882,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; ptb_bl - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; ptb_bl - ltb_bl; ptb_bcg - ltb_ppd; ltb_ppd - rtb_bcg; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; ptb_bl - rtb_bcg; ptb_bl - rtb_ppd; ptb_bl - sim_bcg; ptb_bl - sim_bl; ptb_bl - sim_ppd
681.386653712545,5.4375,3.2888e-06,5.483,0.012882,ptb_ppd - ltb_bcg; ptb_bl - ltb_bl; ptb_ppd - ltb_bl; ptb_bl - ltb_ppd; ptb_ppd - ltb_ppd; ptb_bl - ptb_bcg; ptb_ppd - ptb_bcg; ptb_bl - rtb_bcg; ptb_bl - rtb_bl; ptb_bl - sim_bcg; ptb_bl - sim_bl; ptb_bl - sim_ppd; ptb_ppd - rtb_bcg; ptb_ppd - rtb_bl; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; ptb_ppd - sim_ppd
970.462837920541,5.3999,3.6227e-06,5.441,0.013683,ptb_bcg - ltb_bcg; ptb_ppd - ltb_bcg; rtb_bcg - ltb_bcg; rtb_bl - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; ptb_bl - ltb_bl; ptb_ppd - ltb_bl; rtb_bcg - ltb_bl; rtb_bl - ltb_bl; ptb_bcg - ltb_ppd; ptb_ppd - ltb_ppd; ltb_ppd - sim_bl; ptb_bcg - ptb_bl; ptb_bcg - rtb_bcg; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; ptb_bl - sim_bl; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; ptb_ppd - sim_ppd; rtb_bcg - sim_bl; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_bl
844.053212283309,5.3415,4.2103e-06,5.3757,0.015355,ptb_ppd - ltb_bcg; ptb_bcg - ltb_bl; ptb_ppd - ltb_bl; ptb_bcg - ltb_ppd; ptb_ppd - ltb_ppd; ptb_ppd - ptb_bcg; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_ppd - ptb_bl; ptb_ppd - rtb_bcg; ptb_ppd - rtb_bl; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; ptb_ppd - sim_ppd
969.396168950408,5.3231,4.4151e-06,5.3551,0.015565,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; rtb_bl - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; ltb_ppd - ptb_bcg; ltb_ppd - ptb_bl; ltb_ppd - ptb_ppd; ltb_ppd - rtb_bcg; ltb_ppd - rtb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bcg - ptb_bl; ptb_bcg - rtb_bcg; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; rtb_bl - ptb_bl; rtb_bl - rtb_bcg; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_bl
705.032959378603,5.2928,4.7739e-06,5.3211,0.016287,ltb_bl - ltb_bcg; ptb_bl - ltb_bcg; sim_bl - ltb_bcg; ltb_bl - ltb_ppd; ltb_bl - ptb_bcg; ltb_bl - ptb_ppd; ltb_bl - rtb_bl; ltb_bl - rtb_ppd; ltb_bl - sim_bcg; ltb_bl - sim_ppd; ptb_bcg - ltb_ppd; ptb_bl - ltb_ppd; rtb_bcg - ltb_ppd; sim_bl - ltb_ppd; ptb_bcg - ptb_ppd; ptb_bcg - rtb_ppd; ptb_bl - ptb_ppd; ptb_bl - rtb_bl; ptb_bl - rtb_ppd; ptb_bl - sim_bcg; ptb_bl - sim_ppd; rtb_bcg - ptb_ppd; sim_bl - ptb_ppd; rtb_bcg - rtb_bl; rtb_bcg - rtb_ppd; rtb_bcg - sim_bcg; sim_bl - rtb_bl; sim_bl - rtb_ppd; sim_bl - sim_bcg; sim_bl - sim_ppd
343.943658417422,5.2295,5.6243e-06,5.2499,0.018314,ltb_ppd - ltb_bcg; ptb_bl - ltb_bcg; rtb_bl - ltb_bcg; ltb_ppd - ltb_bl; ptb_bl - ltb_bl; rtb_bl - ltb_bl; ltb_ppd - ptb_bcg; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bl - ptb_bcg; rtb_bl - ptb_bcg; ptb_bl - ptb_ppd; ptb_bl - rtb_bcg; ptb_bl - rtb_ppd; ptb_bl - sim_bcg; ptb_bl - sim_bl; ptb_bl - sim_ppd; rtb_bl - ptb_ppd; rtb_bl - rtb_bcg; rtb_bl - rtb_ppd; rtb_bl - sim_bcg; rtb_bl - sim_bl; rtb_bl - sim_ppd
367.166384438989,5.2234,5.7143e-06,5.243,0.018314,ptb_bcg - ltb_bcg; ptb_bcg - ltb_bl; ptb_bcg - ltb_ppd; ptb_bcg - ptb_bl; ptb_bcg - ptb_ppd; ptb_bcg - rtb_bcg; ptb_bcg - rtb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd
649.228746886396,5.2026,6.0315e-06,5.2196,0.018762,ptb_ppd - ltb_bcg; ptb_ppd - ltb_bl; ptb_ppd - ltb_ppd; ptb_ppd - ptb_bcg; ptb_ppd - ptb_bl; ptb_ppd - rtb_bcg; ptb_ppd - rtb_bl; ptb_ppd - rtb_ppd; ptb_ppd - sim_bcg; ptb_ppd - sim_bl; ptb_ppd - sim_ppd
404.89260217573,5.1705,6.5564e-06,5.1833,0.019812,sim_bcg - ltb_bcg; sim_bcg - ltb_bl; sim_bcg - ltb_ppd; sim_bcg - ptb_bcg; sim_bcg - ptb_bl; sim_bcg - ptb_ppd; sim_bcg - rtb_bcg; sim_bcg - rtb_bl; sim_bcg - rtb_ppd; sim_bcg - sim_bl; sim_bcg - sim_ppd
1116.93420732968,5.1309,7.2695e-06,5.1385,0.021356,ltb_ppd - ltb_bcg; ltb_ppd - ltb_bl; ltb_ppd - ptb_bcg; ltb_ppd - ptb_bl; ltb_ppd - ptb_ppd; ltb_ppd - rtb_bcg; ltb_ppd - rtb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd
429.906627257098,5.1184,7.5097e-06,5.1244,0.021466,ltb_ppd - ltb_bcg; ptb_bcg - ltb_bcg; ptb_ppd - ltb_bcg; rtb_bcg - ltb_bcg; rtb_bl - ltb_bcg; ltb_ppd - ltb_bl; ptb_bcg - ltb_bl; ptb_ppd - ltb_bl; rtb_bcg - ltb_bl; rtb_bl - ltb_bl; ltb_ppd - ptb_bl; ltb_ppd - rtb_ppd; ltb_ppd - sim_bcg; ltb_ppd - sim_bl; ltb_ppd - sim_ppd; ptb_bcg - ptb_bl; ptb_bcg - rtb_ppd; ptb_bcg - sim_bcg; ptb_bcg - sim_bl; ptb_bcg - sim_ppd; ptb_ppd - rtb_ppd; ptb_ppd - sim_bl; ptb_ppd - sim_ppd; rtb_bcg - rtb_ppd; rtb_bcg - sim_bl; rtb_bcg - sim_ppd; rtb_bl - rtb_ppd; rtb_bl - sim_bl; rtb_bl - sim_ppd
