id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LTB,PTB,RTB,SIM,T016B1_not_identified,T016BCG_not_identified,T016PPD,T027B1_not_identified,T027BCG_not_identified,T027PPD,T080B1_not_identified,T080BCG_not_identified,T080PPD,T095B1_not_identified,T095BCG_not_identified,T095PPD,T101B1_not_identified,T101BCG_not_identified,T101PPD,T104B1_not_identified,T104BCG_not_identified,T104PPD,T011B1_not_identified,T011BCG_not_identified,T011PPD_not_identified,T013B1_not_identified,T013BCG_not_identified,T013PPD_not_identified,T014B1_not_identified,T014BCG_not_identified,T014PPD_not_identified,T032B1_not_identified,T032BCG_not_identified,T032PPD_not_identified,T033B1_not_identified,T033BCG_not_identified,T033PPD_not_identified,T047B1_not_identified,T047BCG_not_identified,T047PPD_not_identified,T051B1_not_identified,T051BCG_not_identified,T051PPD_not_identified,T107B1_not_identified,T107BCG_not_identified,T107PPD_not_identified,T108B1_not_identified,T108BCG_not_identified,T108PPD_not_identified,T166B1_not_identified,T166BCG_not_identified,T166PPD_not_identified,T173B1_not_identified,T173BCG_not_identified,T173PPD_not_identified,T176B1_not_identified,T176BCG_not_identified,T176PPD_not_identified,T035B1_not_identified,T035BCG_not_identified,T090B1_not_identified,T090BCG_not_identified,T090PPD_not_identified,T142B1_not_identified,T142BCG_not_identified,T142PPD_not_identified,T163B1_not_identified,T163BCG_not_identified,T163PPD_not_identified,T164B1_not_identified,T164BCG_not_identified,T164PPD_not_identified,T165B1_not_identified,T165BCG_not_identified,T165PPD_not_identified,isotopes
120,M1200T8193,1.47059914438067,-0.627890262056274,0.534982734449826,0.490861177554239,1200.42747053535,1200.42678050255,1200.43138548034,8193.1146,8184.7302,8200.4868,17,3,9,0,5,42690099.609603,4728769.21897384,1011407.24243847,6058448.66302131,2888684.22632904,2655019.70927686,411160.375300502,13985779.945008,10476052.4996149,124692826.252818,135937693.895077,2572203.61432429,3775244.3299657,62051499.9282518,881390.002512147,1432190.64578209,1679347.32581427,662757.929894521,3864988.73088918,5262998.76492743,18148267.3155827,189857.093177447,17585700.5527981,36310634.5975071,115141442.681532,396244.562393422,331573.162855029,178882.207700628,5636428.925259,0,6492951.34362603,24745450.2497675,6614600.83799556,31666356.8212232,10909418.4714656,1163683.45625312,103323693.330016,835576.655499367,1563035.83733046,0,1021970.22901936,0,879341.837994356,453702.73616146,1782990.31810248,0,0,0,0,0,0,0,0,0,32174367.1234133,38775960.4654991,141260589.567492,16846954.3629019,78033811.3533077,0,0,0,0,0,0,0,0,0,0,0,0,
121,M313T8557,1.44865381560286,0.596322939552653,0.556285339918411,0.0188048343072465,313.234769151782,313.23442549157,313.237347255446,8556.5337,8550.1512,8566.5858,14,9,5,0,0,98334175.6181693,10095877.6033282,2462599.83333002,60497853.9519571,54845980.39143,43919606.918502,3829502.06473168,0,35549539.9883188,0,0,46676215.8058031,0,0,0,0,4245956.66906255,4105645.32041005,0,59860347.6211759,17630408.5691182,2952248.04853999,0,0,0,4797965.41069389,0,5036462.14475742,155238131.899413,9304264.88728005,0,0,0,76351361.602003,195181786.506759,1772537.8888982,0,6859594.78819138,1675255.09329398,0,0,0,0,3141724.23122406,1872772.07503692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,M816T7953,1.24981587511898,-0.586674458933733,0.561650080525153,0.0156855049987696,815.776201153467,815.77427417137,815.779200434369,7953.2166,7933.2324,7962.5802,24,9,10,1,4,40324037.5327713,164287653.85451,367938.090499111,221047806.945813,12644220.5176059,14608279.6611179,1163408.12646979,204427664.8387,3462040.26197826,30132590.8468114,1841065.13574816,77455249.2231896,136434614.004027,25919414.8766179,104864382.169914,129463701.631349,253075.699524938,754895.389943905,7531862.37750166,166365059.908776,97147967.0457895,57914.8007575889,48983661.3072741,28050607.3067458,11979398.5376345,148117.259790134,10728278.6632427,461776.498241154,98387558.8261572,1052709.17986868,129498764.681622,143925138.3075,75133450.1796712,37494308.2114461,78147900.5307048,604985.863871536,5082276.1868375,313988.96948797803,756599.098756227,1576161.61637569,153843.202810598,424225.54191134,86109746.7064302,432283.723974797,427324.885410941,1302565.76726482,83957.496921654,2280715.49542475,123059.099180667,272127.381149083,599587.134794582,1106982.26881137,1383769.40987893,131075.552816681,60926171.2685071,3923649.29630169,49370724.8991083,222683780.788472,151968417.418463,523849.048479104,181023.510807103,232741.59137073,1260853.27606804,436235.700745503,869417.060976923,808225.058441122,427126.981204966,423722.159876905,521831.457596107,71301.624137211,219520.077085937,
123,M615T3366,1.4997038039151,0.57637124375786,0.568530688754432,0.500394729878414,615.021654155586,615.020289824581,615.022149769848,3366.30996,3348.00606,3376.22658,14,4,9,0,1,16112438.7443215,6173826.60064388,8249386.37891151,6577977.92262864,266615036.663896,40620429.3152051,1190709.99638418,46597989.3367281,5200241.51891014,2043460.49953846,7448424.16097636,3917598.68175679,857414.718891304,2802424.72847998,129726882.160945,4374708.78327056,1236575.54501295,5539852.5665801,12212541.0452317,19926287.0763935,23755019.2608061,438238.199641842,24466711.558722,38268321.3394522,8185611.48127731,90845.15835375,40856810.7920744,313277.529683801,21778383.2013859,5775080.61017343,25617089.8527171,1457152.52018169,162356720.480495,25990466.2228933,36862869.2586962,384412168.541378,26650636.2029924,16451.3499651333,392420476.395969,6617887.24949048,4868646.88418515,1028610.18404829,4428347.54780542,114997.643628665,228327.639523586,3172558.06601667,831259.098259132,136342.574946496,882146.483958088,9375405.80047231,3675028.33510401,1456831.26736688,19022497.5632784,2698103.39870469,5297424.233449,2833467.65127021,29934837.406165,29148848.6653084,4327060.61563208,22725310.5534111,714002.322331252,0,2510846.81933044,1059866.42212754,937070.903124494,2466581.76028504,219140.886274032,18092564.4092358,2765694.87178342,4959003.57809347,9063387.01596355,
124,M797T8211_2,1.47777948205289,0.573702647869456,0.570065360169118,0.0478986330599687,797.074831759158,797.074325899405,797.077973637873,8210.6088,8196.6558,8219.8974,23,8,10,1,4,9353157.60870391,36249318.6304151,6517212.49875752,4788904.08160831,5677945.58482269,7640745.45277686,2422468.40860021,1664252.29155807,216753450.984497,10756491.8615912,2254955.28861088,21279127.7492548,716225.854574904,2349798.9369101,3212985.86547799,247536.231344401,1208599.99277402,443047.786798994,674663.07716735,42442112.9444928,23029343.1171786,357032.813821423,89985323.8036766,66958862.7792886,11694006.9326037,628391.608051593,4381748.63502871,258616.30478848,1231696.01302591,5554846.85924615,22273068.4491174,17455909.6077279,162654694.990613,30698758.3497028,2752366.27818869,9861547.42384799,676920.064160616,581159.579152762,4543724.1751833,0,34229.8792500591,0,5033856.80139464,1226832.29048448,5467535.81299251,0,0,0,0,0,0,0,0,0,13949221.6577285,4276185.45737832,2023541.02954691,2807584.63448193,2054500.02604096,0,0,0,0,0,0,0,0,0,0,0,0,
125,M917T8162_1,1.51621607296223,0.572798042516004,0.571449230497701,0.17328927638341,916.820152544429,916.818935530635,916.821534207015,8161.5945,8149.0812,8173.539,20,6,10,1,3,1190108.69150809,68732520.5514601,519158.890612717,64839615.3699851,2482960.05219735,7174202.96177084,5624300.8832163,1008397.24223942,8934966.22817228,19801093.8399336,1972919.87209055,8474206.66438335,675644.501610997,676749.603622393,2114748.89471274,372713.65884933,124431.968606893,507035.865298332,1890702.59358161,10634601.3208266,22910366.4988766,301253.163791459,31807825.9094169,14387699.0623423,4050827.8707645,729577.257784597,26356457.8595448,297764.571854938,3365141.9493084,713880.146251262,8190371.3223087,2753361.9157874,154560414.925936,9556063.95874685,2736033.63586609,762115.070928885,1204795.30292156,446143.666373437,550036.644671616,0,0,0,20547403.4184692,1285628.51578336,591220.082900511,0,0,0,0,0,0,0,0,0,36972130.5911481,1121402.63974815,1480434.14044261,16010467.0413811,22932275.6630502,0,0,0,0,0,0,0,0,0,0,0,0,
126,M917T8162_2,1.49975920903289,0.570750520060491,0.572659158897442,0.155838066839673,917.154163094137,917.153032034273,917.156248417438,8161.5945,8149.0812,8173.539,20,6,10,1,3,1459443.33724419,60872495.97838,524701.900291983,55825396.3150182,1990272.29214845,6250855.78824847,1081429.88188452,1026964.3326025,7739215.45018853,16883483.6911614,3892770.23146404,7214355.5932025,569956.9526505,507443.834413558,1381849.33262857,409563.915212962,181725.019642807,659103.370562477,1369150.4608032,9881865.14424951,20333013.3659677,62651.7452361316,28015636.155525,13028249.7862569,5823304.22697196,488778.334305789,22210988.5110143,457681.934032895,2558288.2669928,153181.740982396,7005289.73783909,2732223.86968857,127522404.014435,8023386.31389611,2360224.11701242,639656.798636104,1056555.58074153,803624.861720434,755359.365112071,0,156632.214897944,0,16774437.8835873,835096.681199978,580421.461633636,0,0,0,0,0,0,0,0,0,30259505.8514254,1091590.12603593,962913.564148545,13723621.8264147,19000642.1914717,0,0,0,0,0,0,0,0,0,0,0,0,
127,M863T7889_1,1.20447611184633,0.569506510694128,0.572856197890855,0.189443003219005,863.213578686166,863.211763004226,863.216496749648,7889.181,7874.175,7900.3296,22,7,10,1,4,25817323.2183634,20845005.3943263,587267.119337882,10350900.4885206,6580562.09987827,15283007.662705,1311345.90757107,3042935.38860752,3750841.22359762,5304546.72686853,1343259.40131138,7556943.1720169,2279264.3908917,15202564.2100093,6283600.43632478,3402587.46027255,462527.765585123,4324639.49522908,11177539.2539243,6434995.39214429,16378397.4030548,40282.7059428003,8065186.03009674,23815373.8511331,2209749.82658717,283823.341636783,8873533.20837002,778491.664089842,9815950.52078542,846872.490103437,1021172.89095611,25791176.4433381,4158813.22193508,19356561.0515886,19941076.4657702,2084536.61746348,21147133.5943256,701201.25422601,1727437.51886438,398834.753980654,99243.7439419381,133787.102771482,17574164.342729,757350.09562426,1094642.84706875,276416.076004402,0,4954857.64816246,60952.4697285191,157414.043820395,87817.1773170377,92436.9152805383,391192.849874998,371560.792097993,26768450.9455204,12606806.7240884,15478272.8108145,29701247.582345,42262162.9137476,835751.596867407,782563.20553126,14494.7310546562,173299.402929681,178517.363383829,1181840.78690334,1472404.58934372,125085.127108004,2084097.63468521,65961.2887232515,0,2159167.08442334,
128,M1292T8192,1.54780889409911,-0.568638664741572,0.57393612435072,0.403393829659292,1292.30455149659,1292.30283107337,1292.30624959955,8192.0829,8175.5526,8204.4678,20,5,9,1,5,35812155.0113616,1966308.08081101,325386.940401553,1205451.02408602,1313046.38728969,1918142.365513,0,10606930.2312391,7478218.40417868,72660978.7635603,174016612.889013,1349414.08067701,1855007.71386342,38562444.3154422,304602.162988646,704612.955921901,719365.061293289,636134.092533142,2042877.83516576,2433091.653969,11409654.8218376,344466.904051748,10290661.4502195,16939614.0271453,122636698.376816,352375.401250011,0,220886.043662102,3604089.17163978,265469.281717104,4184697.13661624,17498733.6664204,5401343.88261804,18746082.6828522,10253309.517324,429049.999247962,48968880.6916564,806577.90981318,250621.486295637,0,121936.542311764,0,526308.020170614,453523.74902293,764813.409293096,0,0,0,0,0,0,0,0,0,24658496.3803907,24542748.8953602,90961643.6895265,11431103.4101874,45297584.5710791,0,0,0,0,0,0,0,0,0,0,0,0,
129,M1257T1043_3,1.63720387560063,0.569122994837517,0.573952622237857,0.301830598776611,1257.2752049081,1257.27443704967,1257.27656601184,1042.8108,1036.41984,1053.45492,27,7,7,4,9,1871338.59056345,151194.977036382,0,17915081.2572825,23494087.3650736,3973482.76142331,0,137351.076376231,428032.755541826,516670.566338789,43973.1825493859,817634.180640019,89261.499989572,841050.751137635,253808.649598694,14076.9830148486,0,0,326959.960326956,129810.450675134,6227.4507264075,0,48786186.9852787,8799865.18271617,428335.357614484,1727.62173481161,20737.225881593,1279.15227508195,1912295.69654179,0,1319192.96018545,8652573.7153325,259498.706060157,1489705.64903743,10620049.1377689,1372.06150091606,5833062.40135511,0,0,1256253.20980308,0,0,474954.377937668,0,0,548560.061511134,0,1040723.34410495,0,1629155.068136,1886.85458463035,495983.57050532,0,0,191355.014855587,7035053.26359587,1482997.44253614,633544.364602178,793326.691078078,4898.49096200451,2829742.06980844,485047.742189336,2159676.97134448,0,1718841.14203971,2122924.2589882,0,0,0,3303.81076306836,0,
130,M796T8211_1,1.4624205196432,0.564112023067318,0.576510871129754,0.0459330472437555,796.072586898681,796.071853032105,796.076706209435,8210.6088,8191.3266,8219.8974,29,12,12,1,4,69678500.0225498,262528867.862663,61674535.0750723,35902759.6187033,47436049.5856924,55598307.5292271,18447229.3799764,10664803.3318449,1591934003.77105,86940456.6382375,28747316.1006914,152597701.624547,1874730.08839402,21494643.8358914,24869581.7974656,2480075.2254143,2425157.1566284,586318.12876285,4760525.14951711,305306748.571356,162284797.846235,2387942.94718923,635301137.758358,479580914.091048,74899955.2477057,3483180.35753149,93026062.8207621,719980.496913844,7844559.25707678,53008046.6365292,160891876.523477,119333541.452842,1201402483.88528,217228041.590723,22030240.6681114,77289197.0713896,1840935.5843536,1754699.12428489,33644099.4700254,0,223530.071545918,0,40435199.4099368,5932124.8315254,45261318.5829046,0,0,0,0,0,0,0,0,0,109954491.007211,29493889.0983437,16663804.4448689,21853332.2905611,14616846.4754556,0,0,0,0,0,0,0,0,0,0,0,0,
131,M994T1066_3,1.63605899366478,-0.559410199401421,0.581230504079322,0.160654334032144,994.413553741404,994.413331042582,994.415277161663,1066.01034,1057.35732,1071.40386,17,5,9,1,2,803696.001930059,372382.070572093,0,20133737.9102479,91219350.4285713,33976678.0319693,0,5529.05256144057,1078042.64112499,119166.369524585,49561.3858311705,2254192.30734371,57147.6771522281,3612.21496437832,42130.6545347919,15300.8660860174,2012.57981531249,0,366277.660077737,1445.62592606251,412320.890795523,1912.88799732421,16833091.8313999,3358007.07244533,112086.979099086,1594.50091371826,69428.5960344751,0,13620198.4724173,0,670306.392672848,36777912.6276767,486191.108790573,2504437.28774705,16547822.7017172,1712.70749554478,1170300.51194076,0,0,11702.6048894171,2021.69264180443,0,114480.441203136,0,1822.11185842807,0,0,461287.261544779,2491.45417100806,1912635.46699089,0,340585.285308899,0,0,81456.3888020808,3540528.52587587,936041.506428511,758453.312176167,1894883.8804249,4696.38693093258,136399.965984604,27237.0450651564,329656.002643826,0,49208.0371152029,40549.3333934642,2389.34450056108,0,0,0,0,
