id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,b1,bcg,ppd,T051B1,T107B1,T108B1,T166B1,T173B1,T176B1,T051BCG,T107BCG,T108BCG,T166BCG,T173BCG,T176BCG,T051PPD,T107PPD,T108PPD,T166PPD,T173PPD,T176PPD
440,M372T1856,34.95277145,-2.085526498,0.091323018,0.033916843,372.4711552,372.4710956,372.4712113,1856.47914,1854.12336,1862.57034,3,3,0,0,28334901.13,27762398.25,0,51126117.89,2177953.995,468858.8518,5583.926432,1006389.783,0,429916.2224,1504037.259,197463.8933,0,414254.6536,6683.307177,345805.7258,809995.752,3060263.663
441,M429T5794,6.675261842,2.04056543,0.091423441,0.145133639,429.1579125,429.1557999,429.1587735,5793.711,5783.62374,5796.34884,5,1,3,1,523066.5193,3200931.191,1833424.826,3407414.106,37424716.9,9160251.613,8510321.346,125245855.3,251839.8266,135702760.3,15003060.59,86095657.39,1109347.536,117321224.1,857803.3997,7559974.213,193798.7694,199104.8434
442,M528T4786,25.67390165,2.082143782,0.091449507,0.116024025,527.7805896,527.7798603,527.7806526,4785.52374,4785.32418,4786.212,3,0,3,0,345315.0343,190977.736,162350.212,33405.34686,2390082.097,7356651.415,16036140.09,142031039.5,4408569.448,41634920.62,15419396.19,49501148.54,3790578.802,74550938.83,11280366.86,782008.3373,24928810.88,462189.0185
443,M1102T4864,2133.20288,2.084351986,0.091554174,0.355075478,1102.008499,1102.008122,1102.009271,4864.26009,4856.24592,4870.10796,4,0,3,1,0,78624.52285,0,0,0,0,0,36701590.96,0,56878564.1,0,74141903.51,0,117124188.3,425753.8912,0,1518500.98,0
444,M463T7218,63.29066053,-2.082956733,0.091594854,0.031304824,463.4993331,463.498558,463.4998513,7217.9436,7210.0626,7225.3074,4,3,1,0,26675462.43,102210.1674,23013265.55,13348.46873,70423.45838,13939442.98,0,0,10430.00286,0,997841.2416,0,0,42988.89093,0,0,43565.80444,8119.168804
445,M1594T4834,92.33519464,2.08251714,0.091709827,0.101304163,1593.839781,1593.839534,1593.840641,4833.85167,4828.56966,4836.29772,4,0,3,1,0,0,0,0,520455.1688,0,0,11830861.94,0,14739362.32,0,21486105.04,0,11688051.72,0,0,4556673.353,0
446,M885T7474,15.38765963,2.080113253,0.091738874,0.192431039,885.1007139,885.0993767,885.102584,7473.6879,7467.7032,7478.5044,4,0,1,3,1185562.345,209559.092,2565655.431,186862.6384,810695.1248,911307.6565,1082363.375,28287624.58,415009.2812,22215761.99,449882.8033,37869415.64,963422.8746,50344776.32,2351302.444,3902207.764,7810392.084,26582914.94
447,M640T1463,13.00781106,-2.068475192,0.091999757,0.432081624,640.2874211,640.2866675,640.2875732,1462.54356,1457.54058,1465.89408,3,3,0,0,191433.3824,20423887.28,113913.4141,13309577.78,12817623.41,1090316.407,1560.020871,648990.4465,5791.424849,478932.7417,0,2550722.299,0,700612.6144,10735.96423,38719796.5,1373931.606,378183.7494
448,M528T4302,18.57759624,2.078164748,0.092029307,0.153577718,527.5644343,527.5638638,527.5649651,4301.85495,4298.29362,4308.83004,4,0,3,1,21945495.24,1008102.18,2725740.011,17801940.13,18085327.7,42285.3794,234999.1044,530022649.9,47393400.72,266393580.2,529287.6766,299971177.5,5458388.076,400947549.3,165684902.1,6075508.754,107007872.6,2561982.638
449,M407T1476,18.70908373,-2.072207272,0.092101894,0.419324698,406.5604654,406.5602584,406.5607119,1475.94108,1471.28442,1481.36334,3,3,0,0,40842.56519,16599190.25,0,14015308.62,10251391.56,345045.9271,0,280705.1291,0,42482.00694,137737.0746,1743982.214,0,0,0,383057.314,11258856.93,102985195.1
450,M346T6581,83.04838781,-2.078501182,0.092177228,0.03280462,346.2302116,346.2302032,346.2302405,6581.0328,6580.6206,6588.624,3,3,0,0,33417308.58,20448824.72,5681820.869,8382069.039,0,0,59389.95003,0,0,0,758567.2072,0,51982.11075,5603.139882,0,557910.5492,8251.358857,43461.2815
451,M761T4482,3.119203478,1.919738141,0.092277286,0.053775141,761.386573,761.3852415,761.3891598,4482.44694,4480.86126,4485.39816,3,0,3,0,73478.30124,72483.84837,2807641.298,54280.0625,9025545.282,4454259.265,0,14126179.93,10847733.74,16442208.25,7771118.177,2241213.845,3349610.17,5524330.365,523611.9537,0,4168548.536,1010677.492
