mzmed,T016B1,T016BCG,T016PPD,T027B1,T027BCG,T027PPD,T080B1,T080BCG,T080PPD,T095B1,T095BCG,T095PPD,T101B1,T101BCG,T101PPD,T104B1,T104BCG,T104PPD,T011B1,T011BCG,T011PPD,T013B1,T013BCG,T013PPD,T014B1,T014BCG,T014PPD,T032B1,T032BCG,T032PPD,T033B1,T033BCG,T033PPD,T047B1,T047BCG,T047PPD,T051B1,T051BCG,T051PPD,T107B1,T107BCG,T107PPD,T108B1,T108BCG,T108PPD,T166B1,T166BCG,T166PPD,T173B1,T173BCG,T173PPD,T176B1,T176BCG,T176PPD,T035B1,T035BCG,T090B1,T090BCG,T090PPD,T142B1,T142BCG,T142PPD,T163B1,T163BCG,T163PPD,T164B1,T164BCG,T164PPD,T165B1,T165BCG,T165PPD
693.265063,18331199,21367,3230,0,1272376,9959215,0,831035,1552861,8185804,49765,27131393,242554,2986204,70444,152711,8034,0,176279,5298,3259445,9583,4839010,172798965,171428,3214,22761,0,2546544,2958,181403632,55290651,1664475,7788996,1390096,0,12075325,0,0,31083,429695,37264,1742898,0,0,660017,183518,6937041,75565,0,7239,7412146,1307885,24473,703118,144492924,6889417,1508097,82447000,563542,1754597,0,59917255,88446,810219,51807,613267,0,3836,0,14785
820.354278,9185915,175253,0,38881888,419859773,133858829,0,236110,20545964,3338685,73316,4810440,274525,24175,1060160,3681,10015,0,1311112,7547,189320,0,10852907,8986667,245433,2162,0,0,30063046,2076,20557683,33670598,1088011,2348831,17072239,0,39605222,0,0,18829,5557,0,839821,0,0,46793,4040,673790,0,16853770,0,65482422,0,0,367116,10209470,8377002,3350018,3473637,30268,24227266,36979993,20060881,2083,42535,33831,2740,0,0,0,0
820.604961,831016,0,48839,2011517,85350486,33373127,1684667,10514,9508458,3155757,5535,1870296,349123,850215,66806,0,509480,0,666822,0,14564,907208,33332849,13559751,10364,341841,4132,1042782,1583478,515250,6552365,41453025,448068,1546648,6762485,1124289,371403,0,720417,840618,6416260,8920,762689,368368,759705,0,6074,417121,0,0,0,0,1286797,0,0,186679,17285,49192,54354,1032126,0,0,0,6258,0,0,2174350,0,0,18018,13982
820.604986,17545468,543155,0,61643467,680733629,212468979,0,706684,32843903,5203166,137831,7848565,512986,68436,1962080,34052,2082,0,2103936,10561,355481,0,17305147,14511350,388696,0,1799332,0,48301707,0,31728463,48640856,1741450,3821714,26806089,0,62204730,0,0,53235,5059,0,2119857,0,0,129686,0,1030952,2289,0,0,6569298,0,0,493716,16254104,2631966,1191137,5947580,2927,26845,0,0,2133,74054,60695,0,0,0,0,0
820.85553,550040,0,26989,1540274,79900459,30204065,1537090,11399,8850455,2595143,7752,1554488,234516,277589,92535,5240,305548,2073,426822,2832,13748,897855,24171328,11574811,16306,309957,0,367688,1290863,621366,5251202,35140276,313710,1496503,6158425,1016187,719629,6131,513562,585662,5069992,6677,719347,922790,939503,0,2317,485214,0,0,0,376402,1106122,85005,17267,144142,39413,0,97468,534265,0,0,0,3975,0,0,1442601,34873,27517,102134,138407
820.855642,15617922,564041,2157,55598644,603480374,186541510,3019,660830,28885580,4556790,584389,6709358,548837,74376,1500182,41748,7934,0,1803347,19345,2053579,0,15252936,12460892,330611,0,4861,0,40898274,2465,27444375,43845733,1607523,3307840,23248055,0,54271507,0,2546,251588,2919,0,2019634,0,3022,244445,0,1588203,0,0,0,4481840,0,0,405778,14581623,2040425,1030144,5162865,32077,0,23719,262942,0,291841,206605,0,0,0,0,0
821.106307,9027715,142431,0,35715600,375130592,118726104,0,290968,17656181,2883618,25208,4260673,242107,32132,987432,11785,5112,0,1163824,6915,139707,0,9638564,7832279,213238,0,775054,0,26484159,0,17672337,29911638,963808,2305333,15703387,0,34846273,0,0,180594,0,0,1226548,0,0,92912,0,1160509,0,0,0,197254,0,0,312495,9600401,2873455,1428155,3228059,3680,0,30429,268886,0,365077,230479,0,0,0,0,0
860.867333,5553978,75389,0,17677391,215442249,62368027,0,512054,13973115,1658767,18090,2231786,138158,13899,630989,7285,0,0,984605,8385,120150,0,6224185,5242515,111668,0,241597,2520,13628034,2878,9305441,15311690,496447,1373982,10064812,0,22414747,0,0,14507,0,0,928918,0,3325,15332,2025,265304,0,0,0,0,0,3097,189748,5978564,2504225,970554,1259020,2050,35431,0,0,0,19800,0,0,0,2250,5008,0
861.118034,11233583,370498,0,31182794,365018899,104681128,0,890036,22238055,2809322,35067,4021688,318883,23059,1145350,5264,13459,0,1709821,18024,209229,0,10806246,8403116,211180,0,634631,0,20566999,0,15408073,25870251,804443,2500483,16583009,0,36618729,0,0,15961,0,0,1647648,0,0,60310,2899,455274,0,0,0,0,0,0,335594,9936999,1342765,663616,1884869,8159,0,20248,0,2283,39218,48992,2454,0,0,0,0
861.368713,9368184,285922,2178,29561832,334781144,95509684,0,778152,20380561,2472311,33058,3593599,245215,41441,999809,6628,9492,0,1485246,18824,190925,0,9753559,8109124,209744,2174,562566,0,19967694,0,13852860,21742093,770647,2243312,15499800,0,34263700,0,4198,3447,0,0,1543688,0,2807,17789,2219,540526,0,0,0,0,3466,2520,322494,9509418,1337004,749888,1887695,4574,0,28886,0,0,48629,39880,5161,0,2294,6381,0
