id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,B1,BCG,PPD,T011B1_not_identified,T013B1_not_identified,T014B1_not_identified,T032B1_not_identified,T033B1_not_identified,T047B1_not_identified,T011BCG_not_identified,T013BCG_not_identified,T014BCG_not_identified,T032BCG_not_identified,T033BCG_not_identified,T047BCG_not_identified,T011PPD_not_identified,T013PPD_not_identified,T014PPD_not_identified,T032PPD_not_identified,T033PPD_not_identified,T047PPD_not_identified,isotopes
3871,M788T3046,6.101794788,2.649474665,0.041648395,0.027649176,788.4336222,788.4331049,788.4350312,3045.75778,3035.34916,3057.08798,12,4,5,3,3821806.956,1114435.249,3816555.601,15844308.26,4098890.622,3142623.681,17760383.81,65205938.93,6731917.014,8898621.132,50546829.93,45129036.99,928221.3777,27596023.28,10439551.9,24949192.36,13860599.44,65264.03463,
3872,M888T6363,4.294838583,-2.578016507,0.041648735,0.006001378,887.8264146,887.825675,887.8270292,6363.2386,6362.1702,6364.071,3,3,0,0,25234433.2,10500978.17,35104150.77,11317680.87,7278949.888,8274057.9,1118157.574,3993993.342,474389.2063,4133177.88,2409312.279,10621592.1,385566.8918,5659808.113,3080204.352,376381.4726,3629426.611,0,
3873,M404T4651,3.34369341,-2.474338123,0.04166689,0.008298063,404.2432726,404.2429093,404.2434106,4651.4679,4647.54714,4654.6264,7,4,1,2,6095073.018,1972254.662,5679517.776,3666230.582,1037603.744,8586458.69,258583.7787,3878211.032,956549.6602,1661892.117,1115214.338,215559.1094,156267.9055,479414.5789,1110974.642,2491335.033,658558.4177,222614.8094,
3874,M717T5489,12.60258556,2.71249133,0.041690872,0.132882789,716.6123863,716.6105822,716.6132498,5489.45578,5484.24854,5491.89342,5,0,1,4,685605.8034,210042.1153,0,1016005.589,505411.7984,401919.529,8911384.528,13782566.86,116604.3466,2887096.486,6472849.074,3355996.279,930557.5088,16704118.8,3046841.183,1588400.7,15041205.71,0,
3876,M668T4841,3.32217459,-2.509123808,0.041718208,0.205756124,667.8358205,667.8348513,667.8360406,4840.71986,4839.23936,4844.29806,3,3,0,0,7911658.269,12893017.24,5081225.233,1773683.738,8756675.55,2942431.919,403267.9251,3038773.978,796138.7882,5027089.519,1286559.227,1295438.334,121923.9584,511583.8397,533407.8783,3655429.541,560243.3017,15406088.94,
3877,M597T6308_2,3.172364124,-2.346483824,0.041730574,0.107742185,597.3199089,597.3190532,597.3217193,6308.4574,6302.405,6314.287,5,3,0,2,101572564.4,129883663.7,219294175.5,139627354.8,73551822.03,68552873.24,23105178.06,3754969.01,175110563.4,10059936.05,6902920.003,11961256.69,7596637.523,52516216.37,51684188.77,7960010.14,39418092.04,204844840.5,[4668][M]+
3878,M509T5326,3.16398112,-2.416899052,0.041742275,0.010566894,509.2304784,509.2297495,509.2309603,5326.09894,5323.3294,5331.64362,7,6,1,0,9186430.326,2844299.451,15840322.39,5662153.475,5739549.571,6150959.203,1211393.505,2143806.687,7107326.653,283212.5693,3610766.738,0,108543.3134,749188.6602,3216578.869,4002036.502,619701.3569,1088167.083,
3879,M607T5663,1.698116002,2.356948137,0.041743129,0.088878656,607.3128891,607.3123255,607.3168171,5662.74096,5655.40558,5674.164,14,4,4,6,36483266.75,8146530.286,28475254.67,41718241.91,24201645.91,45200241.07,47964589.47,52464350.59,53623937.24,29928276.57,45123672.07,83730901.15,19602751.76,28231769.01,81228046.91,81258495.36,174497242.6,299958528.1,
3880,M778T3800,25.12345937,2.707991248,0.041743337,0.030738488,778.2567245,778.2562937,778.2567577,3800.1141,3798.83126,3803.03684,3,0,3,0,180923.1008,677077.852,387036.2592,8621131.72,327519.7361,596071.5905,5090443.588,66686733.73,36800170.1,5012771.59,50137422.61,107348561.9,218159.9089,1953602.544,804423.5428,58232507.29,14684680.52,179251.094,
3881,M742T4390,5.911971897,2.618878195,0.041764888,0.007995862,741.964826,741.9639405,741.9658687,4389.81026,4380.54222,4397.29888,9,2,5,1,160282.3037,0,356736.9854,5561591.262,7959937.649,3163166.342,3106292.216,16973586.83,17452782.05,40632319.13,10062199.48,13468873.25,20747.5763,0,9432900.066,2239475.428,0,0,
3882,M941T6250,8.282666059,-2.674887976,0.041770429,0.003992069,940.9440748,940.9424594,940.9445881,6249.8626,6240.9992,6257.648,5,3,2,0,19563650.59,15097606.84,55161643.84,1018966.865,25994044.4,18971557.64,2500344.44,7727188.153,0,1609859.764,4559196.52,0,0,693629.7179,132065.7474,286049.7375,299495.6722,0,
3883,M622T5627,6.801507656,-2.688698606,0.041777521,0.004966981,622.3206446,622.319848,622.3209246,5626.9824,5623.3365,5636.13474,6,4,2,0,124708973.4,107563682.5,262883073.3,75444647.56,35707373.21,43280246.48,12103004.64,25242781.61,1939842.095,6071315.131,31636498,18513029.94,1874343.903,5225941.477,10546623.05,24673525.23,3667369.061,9521688.397,
3884,M523T5637_2,1.712517899,-2.336434731,0.041812201,0.048520744,523.2530196,523.2524197,523.256702,5637.01594,5628.8616,5644.9873,7,1,2,4,13760907.13,10925613.04,15933456.44,8392782.022,7830709.505,9188107.834,3306811.367,11428502.18,10219951.71,4910604.715,5577803.123,3114508.399,1102037.989,5574718.738,9229879.261,9400142.251,8688217.274,980101.732,
