mzmed,T035B1,T090B1,T142B1,T163B1,T164B1,T165B1,T035BCG,T090BCG,T142BCG,T163BCG,T164BCG,T165BCG,T090PPD,T142PPD,T163PPD,T164PPD
367.196858,1741385,17240434,13581738,9462684,14540109,16300949,7506532,13092055,6337623,929240,3291301,2981193,4442137,2642825,3880367,3410304
367.207215,3087717,3076354,38887824,11836437,135037096,9058572,18774202,10789411,127441841,194816,31452939,17829266,39794414,3934651,74781290,30414892
367.233607,1163135,8617551,2249988,622452,4317883,4526120,4805925,8140200,5751550,20839661,21085809,2911677,4899809,3305098,1179842,4391353
369.201133,4490968,3858445,7784845,725979,1832172,4436022,7357086,2805836,551711,4152965,3346272,5217879,10130330,241652,1852934,2641222
369.208785,1184811,1160014,5246658,68643010,2863009,1962665,10891650,2241342,1511774,286706,1862824,7191881,11960028,995483,2771081,1369293
369.211081,0,0,218034345,1008947932,6645787,610774845,0,0,45902189,717390614,824756368,634710938,0,17239490,11298151,812596046
369.542889,29834,276269,279467,1230461,938215,26025,1545720,585711,479089,0,1139598,4163215,6886459,140766,338280,379892
370.214643,168506,974364,26159978,0,1971164,46653217,266705,1126617,3962953,0,0,0,163772,0,976846,0
370.235369,579610,471670,19690539,1039990,29793770,131223608,3911359,2737705,4834189,31829094,15186153,97367143,1351127,2629798,112692123,5643928
371.227086,2542392,523001,23622752,85632596,139446390,137453076,1727431,1336481,14993416,233035669,256307408,71832670,1747284,19582487,201018904,209629812
371.511678,1194733,1859794,9042568,230706,876356,164618,214835,3345440,130637,22293157,19756541,795393,296585,202241,635306,475106
371.546329,75568,193317,12085545,4641110,7771961,63061472,4966776,180437,446126,56892,62601801,11896192,1738042,256301,75307698,13415775
372.231036,4283530,20637294,12104989,92587693,5732556,59353204,4398490,24945152,6607683,65875683,105194059,33340929,2397740,4140582,3960474,82069633
373.232569,0,0,416605602,90112202,0,1421036530,4180718,5691376,55076738,1002244997,2142002629,1776435386,0,30394749,0,2219366545
373.232815,0,0,0,4243845,4074178,0,2704922,0,20478475,0,0,0,2494308,1366507,2567541,0
374.207154,164863,1734119,6457045,12406072,20395662,2500238,3516057,632571,1852408,280240,10274236,5830369,975283,1059286,53961310,1622146
374.536214,99103,143126,138803,5323236,305232,1796218,160898,0,180708856,956997,531790,2388505,91990,45662107,340025,2465100
374.880302,16907745,5931697,42513691,33559927,40451978,839884,912765117,3381210,2039069,4023501,827632161,35905377,1050145921,235128,122320935,641195
375.177542,2866334,1071358,22590752,3492391,2066057,11326084,6939793,1684862,6635692,830046,1685148,5290141,7308936,16519959,2779932,5183559
375.214328,8730813,1326671,25504596,36852238,171694739,953464,542269102,759127,3901257,1568781,507740962,10797479,659464859,4184757,50517438,976114
375.235231,848876,4599297,3864461,28908141,17013506,1113693,9818376,4805917,77427954,594117,15499247,15889289,7214525,25328860,11734814,5992174
375.236364,18578764,7474994,17660751,2884129,1828993,17787297,118433998,3342284,2348941,6630041,28720825,19261844,82838780,1822975,2797580,12991757
375.689084,427202,10269686,561907,1118212,2773564,1827612,498562,2356503,3432727,13090195,12086487,307898,877116,61895,1502849,139103
376.189446,5001555,123388744,2088642872,20650893,99623173,460307848,1170900891,21003293,191884472,294418807,305542919,216527797,974925020,62708936,60233441,119060811
376.193407,1917472,70243332,42954733,3278891,58462697,22482581,6298724,12582105,4056819,44296093,18943768,22155003,5880934,3254317,98948700,20850061
376.224765,1395720,458968008,336131691,290190184,1460377882,18964697,20803285,242327441,130154193,5222791,1400997576,17614817,18750238,19567021,779635684,12315460
376.528723,171336,2609521,156716263,147753,346267,7763232,106493,3979440,689754,10629602,9448786,5611548,82631,499698,889066,4437126
376.570045,24321,7117788,4133897,73325295,370895,29421834,31071,1853513,36459818,72219648,106512704,136924326,60391,9847944,659386,22427100
379.205672,432785,806364,1060354,33216897,459526,343768,1605700,3214715,248794071,142210,3418135,303927,2460292,242121103,612495,257649
379.456225,76228,20933,41759,1014286,148250,0,1529310,32548,109130880,2415,2417320,0,2253275,99361908,150646,0
379.536027,204372,3618395,2577349,775503,417159,291878,83044945,2515246,4958969,10081,1102417,3326145,23546696,1386136,547174,1013248
379.870518,107608,983822,183876,2431508,721965,27615,50364140,1103712,1340474,2832,886655,2420507,14077238,415951,128718,556017
