mzmed,T011B1,T013B1,T014B1,T032B1,T033B1,T047B1,T011BCG,T013BCG,T014BCG,T032BCG,T033BCG,T047BCG,T011PPD,T013PPD,T014PPD,T032PPD,T033PPD,T047PPD
349.880576,12600102,35874324,32812041,49488620,13171681,28572053,48651,3710931,9226788,15860196,24788966,96524,25024,76494,10801262,4297360,169553,0
349.884012,5727283,2021014,14519002,4774086,6670726,7698542,916579,1580403,202538,2212223,5234286,0,34474,624912,1335920,652331,77395,0
351.193846,547406,1213322,739590,5565888,1804422,3379151,61971,11952065,1273337,13898965,9206958,11932412,112656,1754145,1693757,1004614,156869,10214176
352.557075,10999014,2481439,40148879,5472495,18861236,10784629,830917,656778,10038,8957074,4097942,165693,62926,365361,2249451,163594,102426,130865
353.728761,33050,90595,93282,163350,451871,759459,0,1468629,0,959191,1900025,1782455,3553,88732,167004,727990,15128,455838
353.884269,4445744,9004109,7929813,9659362,3583465,7551738,12521,7968103,0,3853580,5509297,2656756,197661,933178,1371816,2954730,382841,0
355.194139,53642523,35076707,94580271,62477873,9408111,18139223,12355062,18200068,278526,15251228,9146030,883937,12261906,37485889,14646150,241971409,78094588,1220048
355.201523,14888498,2137638,3598537,14130884,18375767,60828134,86461757,279005683,601417,147679459,323789452,1580473,16605110,142976252,165449354,77414541,254606473,36922087
355.53717,6863929,3058338,17303657,3585140,1523325,9286720,30329,1137860,2886840,3293778,1666488,0,8412,26946,632471,583279,100979,5607135
355.871985,4254594,1726946,9993902,1836234,755716,3764709,0,618809,976670,992694,778116,56326,5880,0,233739,52852,0,2508066
357.851179,8524676,4952381,5164312,9026014,1595048,4138448,15050,2463929,73521,6308337,5146249,1321172,532569,3832488,3843530,6083290,1084643,41769
358.181616,62266878,44708882,44415523,84076075,104220734,106946647,208766,36482210,974231,84116098,59236867,1550319,2418971,19259921,42391378,17220750,3419873,1600330
358.852116,9580,38227,17755,218651,84197,59646,22705,2903582,0,4607056,3337993,258649,631694,158070,16704,96493,167536,2876
358.852186,520293,225880,654995,3217637,4251161,1438209,288129,0,0,32039,4052,0,21086,13896,2175,2018902,5570402,3157
358.95125,14625948,23770643,5048427,35199179,12054531,25213144,1416431,5780487,14294940,5792049,11899875,121898,497811,3230597,2457756,5077661,461831,1816652
359.205113,27373571,23028124,237005,195732406,87680219,131883533,1699732,5236683,1053809,10741359,6387186,2717122,102282041,153104299,143009069,168587055,140803156,6592484
359.569244,4291,0,0,0,0,0,0,1509908,0,2236185,1503209,13744,0,0,0,2722,0,0
359.702557,978025,2543208,212688,2551482,1150372,2492109,43375,93162,644276,813447,1254874,610765,9735,138737,57267,693349,229596,3165832
