mzmed,T016B1,T027B1,T080B1,T095B1,T101B1,T104B1,T016BCG,T027BCG,T080BCG,T095BCG,T101BCG,T104BCG,T016PPD,T027PPD,T080PPD,T095PPD,T101PPD,T104PPD
447.878496,1747668,28212665,12463,4297150,151871,17156,15822,54843940,12902,40584,627325,17858,46640,25998041,1441249,6623194,70176,39445
447.896892,10615248,13930030,4977,4453394,204626,8003,6984,24854496,2702,81303,287794,17103,7754,5649171,1725487,2648866,8838,14783
448.212904,1626263,13593323,1172476,2924077,142956,133820,29801,36465446,9187,87845,369277,25905,213648,18254437,1185571,4572587,132519,225295
448.219231,41588579,24580325,16569531,6452312,2358960,1028004,8556290,50252141,17008733,4965958,257005,6207928,1069588,105518946,47192572,306827,2107806,395876
448.231125,9778711,24493443,631186,2966630,353426,935252,2280,18967012,159369,117724,295457,0,392483,3924118,1459741,1646864,271606,24803
448.24643,64982335,18639555,3381744,4423307,31868049,2626150,186852,57041751,56079,927916,85820,75282,63382,18141886,2538216,3185501,8641066,137572
448.946423,18419440,3436560,5873745,0,213208,228832,3741566,26061066,8665473,464659,10693,144947,83141,50557112,2472688,114658,2525484,180451
450.246027,6321400,11780384,261645,6575047,222534,5243,0,14808974,52500,33556,395483,0,19377,12641334,12454970,1847149,37654,4002
450.256656,8986350,221826041,126447,18597,28765,1074782,676109,27404019,762272,16910208,0,310738,0,98261059,343624,11363,282117660,0
450.281351,184685389,1204270515,816064,5525342,7403098,1714196,3619082,264197649,30022369,24624439,7072,31248,0,92151687,74593,5442,30889402,0
450.287213,8108543,1597301,7230,3148382,541212,0,0,80863675,0,37347,666940,0,0,97545457,4891438,19942120,13606,0
450.553002,17488385,22245172,2403,11139650,467587,0,4548,129922754,0,48257,1637937,43474,0,47804203,3464172,16975856,85872,0
450.740003,108159,224841,31483,995707,212592,1537758,0,1620640,103140,250668,776113,973405,1114682,2189008,1101224,1410289,17038918,1457615
450.760937,62743948,11153832,111692839,537901451,0,21798490,3062728,1092018820,8389859,104055009,262601852,142518708,39307348,3011513718,1108251671,758392528,11128037,0
450.783137,70321478,487637444,18318,1737538,1206423,589369,1737317,126867132,13443971,219376437,0,26328,0,31241325,62770,6173,63286735,14117
450.887256,11155945,16128634,12289,7527662,329837,0,9889,91334551,87447,48826,1098027,23192,3814,33960811,2460431,11274832,40144,47903
451.221373,5175478,11420631,36721,2971270,530261,236089,2344,30309933,46724,32984,349666,9936,101077,13914241,836797,4409954,84023,5301
451.229874,17240743,34318837,5387076,40588253,1380900,1855660,5893608,48643686,12524868,649832,9273418,20849661,1107742,8496843,2789128,2548117,5430172,2651111
451.248171,234710844,82802841,19906912,163871456,55745510,93462,94797,57442145,1492450,20119493,40433,1793622,119151,10777637,1015539,403319,53391219,305315
451.262878,5107748,1590994,27079008,25045101,1861306,4965602,810947,64946965,1623643,23620114,135198858,171176267,6609870,196197442,136742134,68858184,21172526,1442701
451.29006,203741,0,141223,1639486,216539,160206,40275,9809908,232073,87900,272058,109831,203739,13123585,500753,2439892,140474,73406
451.489303,3596271,2012030,74078,254247,276131,146359,69581,10395546,100718,121329,67273,86446,43108,10429054,151106288,1761593,84278,36916
451.739953,898432,1737628,0,122901,67466,14068,0,9182257,1001856,3581,0,0,0,9519158,139069041,1546410,0,0
451.749508,150538049,39654205,207637,225107362,12416148,35861,39595,19207101,280911,4307740,69036,23824,25256,10178280,639323,458344,9139645,165904
451.990643,826006,663406,0,60639,22292,2268,3967,4913402,0,19162,0,2399,0,5026102,71573903,751153,3667,3200
452.19149,14951783,14493623,711213,321916,3104844,2815664,2463888,24632022,8942892,2616953,157004,3024814,5379511,17329684,416077,283522,5831523,353426
452.22512,1521264,14018677,2833730,395729,8113,13933,0,5848996,42346,74972,99774,12537,55339,2979769,750416,469205,86561,299556
452.257419,5691034,11584846,564787922,737822,123016,2818368,1749150,403816,2982106,11869903,99966,85645876,10407409,168052,1144700,385214,8964414,2715949
452.269584,13683267,8315425,10641499,59092633,6548417,20262,7401,2785194,243383,698571,632688,1339362,45001,24782120,9480374,4862142,669835,2636144
452.55053,4738306,63546393,249416,119435301,1209752,0,120257,409348694,0,94606,823898,7262,0,262842946,27887560,2894505,302110,0
452.567479,29546193,20802572,401948,37368,1791803,286348,3444901,179134803,8429934,885196,320732,296884,1909090,103949149,42845,53891,1283325,141800
452.784338,286826434,328364449,7861,80928648,65696862,75107,3429573,830325719,778859,54889,46594,0,0,1316262183,174811,495434,1406436,48634
452.884838,0,50611574,193806,83350853,1039997,8108,109714,284061106,0,0,1042004,16711,14290,0,19081346,0,229648,43869
453.218755,1680904,17863058,212691,37190362,363221,8757,20261,131294813,121518,39667,1557890,8047,146058,80124093,7742836,571827,79298,23498
453.237637,9109038,96882605,828762,1175433,188496,27353,244212,13554206,11456,148463,58606,251849,1064909,7667589,1682219,838633,315984,21195
453.285768,145846813,110555450,13368,20429807,32659298,5504,1310003,322172235,320130,92610,0,4487,26540,685323407,10919752,3263840,1068292,0
453.652963,76034,8423953,908163,159691,19259967,3403939,6045,1016701,170195,77737,297340,310937,55608,9973088,2462042,2347144,907129,410339
453.787213,41456055,31129145,5404,5058619,9337128,9233,316847,82343548,12608,25207,0,0,4533,201540478,57587,22364,198784,0
454.154631,2087382,319381975,13445054,8743708,9130042,5503597,71386,2690139,542074,4341598,20957157,586946,512724,8200000,1005034,1094016,6921858,16319507
454.228864,41485716,186050459,6126848,807049115,117270987,2050244,1114630,20643573,4582669,1877777,679342,3472916,894955,89906770,1903151,1300942,7381227,765758
454.238035,35453190,13784220,4939144,4869454,1976518,7441066,1056656,145900828,53741260,9956237,452741,1143352,830410,291543762,1605725,440777,151064622,283816
454.238195,14345642,30610068,14808447,1918424,1056056,11972316,340063,46621892,13633853,30969951,182282,1295414,641600,49266121,919545,261463,235173858,437683
454.2716,2367236,471889,0,1712063,18748,9289,0,51144529,0,0,1500575,0,0,26968251,673286,20128383,17069,100364
454.546326,5369829,25761731,3084,22733311,3799777,11069,13651,163451112,283939,143503,51839,2300,0,70923127,1797538,5258657,2071364,17585
454.546395,2856867,11555482,7409,48982885,1292147,1283754,60146,19332501,3097,205481,204163,0,0,24830861,1774508,722069,7827322,1065535
454.572028,48018941,13944003,1704881,139967966,33928288,315139,961839,128788635,37029898,4705686,472061,111965,117427,154070228,4350109,590566,23828436,446647
454.741044,1067977,8839991,6817611,1579491,806749,948436,82618,8304329,1019896,344071,273510,5684527,9761325,155460,1840620,782426,913902,20294322
454.979,113932515,26097723,0,0,5679145,580909,5310,2055644,54876,11246,0,0,0,1650382,10176,0,8337303,0
455.183984,6279880,18736171,91366,3892192,173415,1182107,25893,15964966,306193,146463,157297,6484,23126,11343048,2000960,623952,388529,240204
455.245659,2684041,9261291,64468861,5572786,1105797,521476,528247,8785294,4262288,6719220,5595979,184953822,34661231,6342830,7006440,10914750,2297193,2265052
455.286287,0,662781,236984,539995,537206,90983,34833,1627397,100056,5048007,625461,1973528,4591864,1220770,2478953,3283326,4111006,687052
455.907359,4705660,1872736,213879,469214,3205727,361519,415314,5298919,1996642,61613,1437780,607758,354345,2811940,808567,72510,201800,16842482
456.206712,6612105,27273961,1728169,151158037,1090770,10289,71745,132765247,16484,196546,541990,428220,918822,67032340,12988924,3307523,283674,551651
456.217938,1952519,3348357,2932,455307,72654,101963,0,2071434,127280,4567511,12035,0,0,37561371,5272592,8900172,14172,0
456.540911,4423164,18047112,2092,106837487,649538,0,39642,89582263,12408,0,257911,0,0,46854382,9666319,2332124,159676,46494
456.720025,446256,273768,0,41155,29134,13239,3606,320190,14181,21082,2770,0,0,15639682,2119126,3776456,0,6008
456.731579,160777,111398177,10384033,10288802,4172835,1498648,63920,2176068,755460,1330867,5904092,7934481,616464,2656360,11436491,34783039,39445729,378251
456.755896,3459690,17181898,175889,23226861,1986481,8723,3500,1229670,36657,73523,22105,0,14184,7674223,173790,24066,1242414,77743
456.874887,1218008,28582335,21170,46241272,394378,7442,11356,38195024,15613,1071510,90292,5739,10201,21785639,4205804,955120,55634,87972
457.826623,3184381,486979,25516,796669,33422,63267,1033091,21107681,4782623,169671,0,39495,0,0,11026,12708,576533,182722
457.888396,12605595,10421340,105357,0,35169,2117405,216778,16407680,4071426,1791421,40666,142714,134241,11564846,128916,0,10220865,86932
457.900204,2264536,10757069,0,37642660,197296,9211,3596,39150968,3319,109002,1712853,9255,3955,22597355,7431669,2410553,6463,9753
458.026929,1589526,0,63406,175350,11675,172105,474120,28963986,2352178,92745,25657,41577,16535,146959,22079,8802,1055738,168723
458.225854,5046695,10662499,193747,29577038,205766,4003,0,40226094,8410,126327,1207194,0,13578,24822209,7630324,3513655,14713,51569
458.248383,27861988,1777872,181799,502530249,1262593,32273,20926,20790454,12054,342520,9361508,0,47425,9291020,901531,34907135,212278,8555
458.563407,1539580,2900684,2354,12158584,10660,52999,0,16447456,2571,156198,556395,0,0,9423118,2800892,1239193,0,16185
458.566117,166103,2411960,4814844,917201,322319,629322,37728,2606998,777682,587358,149378,4637761,3375252,3350205,20100965,24804,2863818,814215
458.726353,1353864,5219546,36119,358239,71885,0,234452,18019214,22206,11987,48239,0,0,13592727,3292491,1716183,0,0
458.746192,5437056,1139386,20306,767639,0,0,0,8875437,2012,0,84889,2034,5171,24111047,68890911,24190401,9188,54236
458.896506,314446,3542818,0,3264005,29601,7718,10490,7606628,15736,12237,111690,4481,0,3748788,1260657,555112,10880,15724
459.227216,777979,0,1832200,834967,1196150,476904,240757,5862864,543686,775196,652639,2149872,314196,0,1137820,0,584203,186623
459.236836,79136902,141048610,2395128,4781567,9448318,4742059,788775,10252080,1699048,1751647,967881,2782891,840006,20017162,780522,1993321,18433383,431609
459.247412,1872049,1436604,2034313,678237,1302480,505248,254765,2454406,547704,896006,693830,2442406,337238,7143124,30144715,10350141,572297,224210
459.256989,11045256,9366013,34365,29570277,683572,47745,0,62511618,202305,140827,1024288,0,539436,35757628,12289694,9297682,29656,0
459.274175,112969835,24323858,9729212,1254747,593825,2535892,7340475,449830,52145191,4907085,1902196,72522747,2157096,293556,3407840,3610641,74892572,1890275
459.291212,6910068,5891777,644264,36181113,1015816,0,81175,68812244,931161,0,19502320,0,2018538,0,0,0,554964,741833
459.410364,5176332,27622414,0,633166,381739,6419,42342,95958116,76986,34383,38052,0,0,41997804,1869730,3012001,425552,0
459.524479,1011000,1803830,25773,385624,15896,84864,388333,38086421,4893075,1487426,26167,166250,1615570,451991,52204,70522,1757985,216435
459.610949,6573122,32572842,0,836397,350177,6465,58435,117482416,78941,77089,60176,0,0,46637666,2325953,3618637,528005,0
459.698176,6412378,791763,160862,7437668,4398136,1533456,3486336,18626523,3975537,2992006,62933,143110,92590,29161366,43218,7225,1928736,178235
459.748799,0,4936565,68041,323153,725313,3950,0,0,229527,11518,2035,0,0,2730715,8734400,2961889,138084,75917
459.811431,4275108,20317307,0,414683,276236,2213,42025,77513124,118476,26607,27335,0,2203,30542740,1092051,2231179,376079,2459
460.01192,1787328,8132847,4696,222427,135232,2451,6896,37184726,20811,6690,18755,0,0,13355666,541274,854028,157842,2596
460.510883,178281,5544468,131171,58026,2562442,150711,101755,3178508,30978,133022,96455,0,4042,230752805,3032652,35313608,46285,183688
460.84496,139906633,66448,123458,1819603,1959412,122508,102281,2948658,53027,108107,628521,2964,3616,166168659,2381018,26958845,37509,186765
460.92107,1489673,26112769,0,645911,52297,5552,3802,88595620,0,9060,53410,7866,3198,138667595,22598547,17028027,9217,11003
461.178244,240844,1755032,417619,298693,878616,138932,32352,2998509,117614,1028909,104700,584533,47102,90535424,1030380,14210775,152334,87494
461.22104,14810306,8700969,984387,35043684,968269,175924,40106,2960926,181072,588721,604646,589403,126848,1897238,4745307,2511479,1106889,802458
461.242136,1820758,6778397,540407,1545892,2348949,98878,32564,30414437,93807,232780,339836,742907,71232,10125668,10452881,1038898,173913,51175
461.265238,13536204,1645034,284619,1302684,180529,0,0,1345161,8370,17209,506323,47824,23638,4555434,6176556,61915668,0,0
461.493011,1497737,4139931,43963,1086657,1903443,2204,3127,30270738,6362,0,319911,3406,5969,10207141,9388206,980161,53061,23064
461.506241,137393105,412278249,211837,286964,233511,676996,2658399,10524967,6713273,78737,100414,1255381,585236,754649,101302,44069,16240356,69945
461.568572,1205652,847266,141305,610449,11510,0,0,32392920,0,32204,178981,27936,2010,23899855,12390464,2312220,7316,2055
461.570288,2371961,1260845,2534356,351678,159704,19206,2081977,62978881,1430359,170311,612650,494997,556886,403217,1753812,475302,536668,174307
461.589728,7225547,195900411,0,391973,1820423,4234,5048,42634114,30079,321675,159088,0,0,40365917,7201063,5319527,56899,0
461.71687,29383917,10059866,18943,50778012,1440470,157505,702321,6271604,814920,443153,7511442,0,3665,10858009,15693829,355506202,697322,5987
461.722566,22317191,14124237,37404,38789439,689140,62286,51778,131542875,321703,1008680,3498973,15678,25134,149472845,2654404,17189775,367529,14550606
461.756503,75169894,108175678,175025,528680,487259,314798,682095,4698794,3599749,505703,73172,9861,0,1222124,40758,463765,9234165,66379
461.903031,1066021,1558543,90430,347111,4011,5277,5382,23483181,4009,55076,110105,9101,10999,16940880,9436176,1632486,6989,19504
461.90845,236059,11206700,9996204,131681,1394818,25804,9342,915068,390524,9064543,126538,4086906,165870,7599196,21919731,7360358,142312,378663
461.91462,1968385,5566149,94765,76298089,987002,27559,7768,104493177,14473,1351662,563825,8335,0,25453820,1324595,19766396,34702,102786
461.924004,4775608,142457514,13806,0,1260997,59522,5363,12384512,13889,209613,122870,5644,0,11515364,1916593,1593352,28344,10271
462.21385,102331276,351610965,0,133425084,2319175,78957,147380,0,201075,35098122,3354269,173340,0,555258187,7043861,66197982,692856,7487220
462.218657,677750,7059883,97761,519601,289815,26154,3746,1397227,14935,68925,48226,108468,3871,88941385,12302389,21329162,16357,3544
462.237241,951866,2957762,46599,84556,8525,4511,7359,8771467,10557,61978,54055,109992,9818,7027307,3625480,568787,9655,10176
462.254635,7859373,16073551,38514543,243220577,62046430,11468533,92548,47060123,936491,2317372,423541339,10119895,2398808,135401214,68938785,86325978,15338619,334044
462.552952,2731417,11427314,0,831801,184393,0,0,2363268,0,5661,172742,0,0,66331971,8592888,14606750,0,0
462.699243,40560146,943595775,872864,80598412,1358932,669943,5685,70561658,111215,1175572,989510,1623443,183560,62287429,76035071,1862108,807812,1676982
462.715525,39981367,150393898,3025,61367014,818034,7310,19196,207063497,8711,232646,2583688,4205,0,259260646,3293847,29545508,101316,2061222
462.720891,4763883,329734984,2831200,20068991,29172156,1380657,1397573,248007563,101865217,273291,61370,3810974,1809991,213673894,1335363,29028,66309135,1258604
462.886714,1586617,9418879,0,592231,130753,0,21596,3130706,12182,15301,136639,23186,15804,27466795,3959918,6406682,4208,109728
463.200655,16874639,454060906,2895880,34880720,845187,156846,239853,24554927,40408,565190,332610,4446216,354413,25092080,34147678,759250,572942,460948
463.232376,1117801,5899984,0,275994,5061,6485,0,22100212,2977,37279,11992,4224,0,35784591,6568406,1046799,0,0
463.240031,11998090,5884552,16201903,877905,1002825,1329540,2704717,2441492,6059255,6402217,1362820,4831510,3297297,483185,4586848,4640913,3493030,2383313
463.251331,1085652,1800237,150273,214912,236070,33504,0,13896219,0,22903,19492,0,0,27427352,3490949,610797,243237,3012
463.557369,29683820,27455849,18583834,115257,79044,5676152,1094316,30038645,7622329,7939218,91370,13320324,15609960,19423199,569225,63510,9015992,1449623
463.56714,940241,2875811,0,81602,0,2426,0,15526349,0,49115,0,0,0,29552926,5234643,735091,0,50828
463.746138,516803096,18313269,27101,1217766,12976247,2360101,2068128,136074977,2460968,1827554,505688,335515,27848,15596658,3857982,4988891,66520675,1735362
463.903907,133645860,10927212,0,15171333,1479206,54395,210332,1242400569,80221,8655784,9631379,5284,0,788886917,238898865,120680803,62521,12005
464.224047,3128342,28607035,9321425,21005450,3926102,5147009,170593,2784071,1066603,1780419,1284843,4648552,2505514,9531594,6294580,5471501,1541009,1502621
464.237863,79148182,30614961,40611,10680306,1021385,26832,130379,872678470,233716,6358743,6888156,0,3015,551341884,166548728,84004613,19739,0
464.248786,10192134,7208471,949127,12694943,852691,68500,0,250098863,29376,356903,641083,548358,173910,135760120,60693924,12563837,551024,20908
464.457657,1739718,9339445,2138,1033221,925957,0,43343,6437253,22494,55078,7462,2317,0,14551317,2575705,1330903,57123,4361
464.571954,24054190,28535458,0,4288115,268630,3680,29790,361192724,0,2548959,2650268,0,0,226732855,67740390,34429282,0,0
464.581414,2819122,34957990,0,12766088,953664,0,612528,109308329,111261,682176,137993,0,0,81860719,19687474,4717401,56756,1286427
464.749999,236257,30006103,1126263,3172888,734627,196957,73716,1103527,64906,16645360,1613423,2781847,223167,1489481,962263,7743833,12267122,6851805
464.758881,79953758,3255025827,74022,37241732,1241949,353420172,132256629,649093093,5158841486,2682479510,60437793,277290,55403,1322160053,74942057,187551382,9456433077,0
464.833463,64645,4136540,0,10243,26385,0,2146,4884905,6336,2328,6879,0,2025,2038164,2883876,311226,0,0
464.906171,5101486,0,3622,1294980,48115,4303,10325,102592726,8069,657831,330837,6783,4895,67664287,20276740,10497199,55066,14108
465.240341,2112338,3136531,13580,343639,30547,318488,5718,26162054,0,121917,166064,3369,9568,16764707,4530451,2639797,15922,0
465.247292,3837269,4474824,1303537,6121333,11194035,1238111,190818,3497322,228579,5219234,325191,1374206,17270644,22878388,15152248,23208732,2145407,5716689
465.251204,695359,187199277,0,725724,0,0,0,33533652,0,42444707,12545,0,129746,17375298,8198034,795616,0,0
465.260032,50994171,1051893320,420515,13974813,1982412,63324009,45123781,168851877,1713057925,592100734,47358578,90427,83465,605694916,30777619,87595160,2401139010,106247
465.754048,138124787,41479331,1904188,958389473,208909311,587991,6294109,890882978,21630819,4356063,26116087,30449609,14455496,1640834400,744309,1040216,8811446,27647144
465.755986,91364530,159963270,124595,551499456,227514805,1357540,10170429,67821139,3082884,4525356,745945,199388,74067,46518635,6177560,562194,10167092,656423
465.75723,237014,12045074,13432,1249422,21177,193513,7428,22780111,0,225440,6430,0,15602,12594467,910681,1554442,4205,5563
465.761341,75077020,302526878,42274127,4589974,22261558,32696274,13043615,66705636,497207493,153291456,26775806,13501415,10743806,177811387,8946047,27392416,570254180,17098350
466.190249,40168215,53080986,21231785,0,441306,1256068,1191392,222548040,114925381,2257598,0,6623931,5581440,14452194,196848,2189109,144748100,0
466.254021,5887292,8607722,0,5260052,4254230,3730,49632,11843103,12991,101447871,26284,13786,20137,9193949,113409,18397,220407,18931
466.255596,48073979,15472012,13698923,16069745,2484470,1427616,3834904,4113862,32791244,7594658,27274507,11368656,6461461,48386208,51619926,67756819,4738182,9151968
