mzmed,T051B1,T107B1,T108B1,T166B1,T173B1,T176B1,T051BCG,T107BCG,T108BCG,T166BCG,T173BCG,T176BCG,T051PPD,T107PPD,T108PPD,T166PPD,T173PPD,T176PPD
599.337231,7438363,3453161,6333195,15802928,9857772,8126068,355864,7145570,548927,127174095,11108018,4611504,98974,10565271,1563982,10506935,544221939,100553790
599.604005,0,88714173,0,153962528,87787168,1169652,0,10763792,0,594050,0,8547799,2923,54633,2318,1304707,127620,0
599.653389,81735,6834712,82123610,982490,7708994,133601,5567990,3331316,0,32693076,0,10224631,123734,0,0,0,2518654,9345348
600.253474,1286112,1905341,667332,5624578,405218,425807776,452429,2181840,76111,37780,11904296,10440331,2845,130007,0,17513536,758189,91416189
601.305055,2085638,3407397,1230981,10902181,81004904,513013,214638,21444953,186011,18428742,787899,118664574,17971,18677296,41353,5608143,27701562,6090619
601.816647,7097397,56441584,10975106,8271534,4701012,10504890,4360857,3262892,938601,475643,786743,0,29808,16857610,349461,530675,552503,93688236
601.819438,815779,118375,7461766,348553,30414035,572474092,344572,27906348,10462911,68311926,68146146,63653449,28557926,1641430,846202,4050623,47309777,26121164
602.308052,15661587,920146,23642100,2282459,48432570,19579822,1262145,2536843,5058686,10694682,9702783,7239163,763913,723976,2029058,296395,2937770,3588397
602.318278,2106272,40564924,7522701,3834139,10542811,100677815,3157143,290684146,3697636,78291406,3546130,103589452,7543393,137137190,1262729,3671249,3705858,19294092
603.312122,0,0,0,185192,0,1128835,0,4414215,0,4533453,1363765,11209729,4169622,4904755,1140053,2425739,7839506,2169688
603.324199,2005225,22107075,4205225,170454142,3565896,42254955,1112049,10938233,848203,4992364,2438605,5828265,110531,1370604,155393,1711023,26169720,85016615
603.338167,2570171,350468,926570,336317,12397865,8932200,686095,25359592,14150992,22665179,14914058,11926950,2256935,30748925,1583270,7525351,8267508,1531115
603.595487,1495402,6629472,140584,9807316,6743572,110969362,0,2245567,2297,71942,405306,0,0,0,53774,316850,7379427,7237199
603.772976,16641261,4444955,32600509,2773233,4154607,4203456,489676,661678,1944208,412061,7980485,361633,276981,0,138374,251867,5050786,3398616
603.929903,45030,4731210,29004,6560657,5825596,0,3603,0,0,918572,0,1055493,3297,7305,13295,0,0,193421
604.273212,1965350,2812378,1372125,2636382,7574638,4131906,18001,6719165,340565,11646701,1002294,18614833,612951,11083255,25605,0,19403518,4016472
604.600454,159719,4760317,16032,9746887,5121617,6964529,0,147610,0,45345,7545957,0,0,20014,0,0,211555,68366
604.612203,255792,162629,58525750,127293,20298508,973913,32019,41811113,63512,62028958,124677,178682617,84332,1754059,0,184060,7121812,545304
604.622097,0,121215,0,0,11791865,161005,22110,23022633,635990,12802246,1034349,12526916,40487,19638861,0,0,10204054,679159
604.956566,2722337,0,211107,0,9317014,829274,0,27848122,0,14996102,152646,13166092,143945,18621526,0,215102,6225708,1260568
606.330337,19218836,563997556,223622896,36635308,39900786,6935771,570495,64871956,1235029,68378235,2023789,60367742,388041,88224291,52860,29820035,119089362,36932414
606.83186,13306882,143717071,149252271,16092747,115012599,2535902,0,22914768,27578,21221649,382475,21067067,138033,30286373,0,6592494,47369066,8820117
607.77157,75880941,1769437,188174647,752905,57558072,2275813,174135,467737,464184,1853423,560291,1165810,259963,659347,153364,0,21472364,5449017
607.816142,48373333,2420428,148059684,1550518,5127249,3159081,437994,1159020,957205,2862837,1426381,1598400,293981,655051,270309,343720,70063147,11980250
608.272325,46145152,4014781,76549335,366228,36374263,2779147,1927331,4309666,1973474,1522591,156632262,1385015,3286010,1326646,714429,2158440,23729395,3510441
608.773795,5825475,2406276,18766866,0,0,239164,33854,597558,7168953,176424,72496237,0,0,0,97770,0,1196319,453061
608.836839,6476502,6328259,916738,6112688,3501487,122194,308208,18519387,0,0,0,555532,2371,0,6920,164714,3443176,1627500
609.273574,5891406,2503963,9271676,708157,0,46905856,12613616,3680287,14001559,6867721,68746712,7510303,2179645,2561603,326819,68620972,0,25830500
609.317948,108834485,25012255,7910,3531638,736612,61084395,2034,529633,0,398739,1454647,89240,0,82490,2997,392941261,2180345,13835314
609.323994,19387344,9076848,76809415,9447772,35736877,4122300,44353229,5543430,1154762,2930386,74179987,1702407,571133,1808422,1069619,77569769,22526206,24419576
609.324123,5187694,4419164,1755065,76092849,9948038,538388381,7266060,5243821,756153,1964017,23223696,2901952,4658682,4497563,928251,1383141,12511780,16832788
609.599532,258274,9451447,80744,10247437,7414609,1071905,24721,1013357,0,0,3300782,286164,0,41262,0,1549350,370874,196977
609.825524,12702509,4885794,48822571,5807709,17129405,6209614,848830,2756903,1085752,3170157,18526285,1569757,283758,4331446,215975,91250848,11147717,10063640
610.237978,1599680,12803717,1234434,15329208,634491,18269680,492345,12911590,873364,15456363,28812756,74551935,468480,12248133,2909123,11262121,9656635,9593749
610.298749,5404133,8715104,10184,19378293,157139,31681771,0,123572,10768,5228,55991718,29292,5118,11581,5729,448734,574365,935100
610.612805,671230,17982866,267354,7572540,19730666,0,792313,413716326,0,39770956,0,10460960,0,55930052,0,157711,10170550,425644
611.321978,12917812,8322469,14239333,1167321,9945316,529277415,2157523,59197525,7112729,43915041,23760686,19494134,1541757,135685317,309308,6323105,10729432,8212274
611.345345,56139011,2064994,4502221,3736217,5883428,27111960,2510389,3541157,254252,3338478,12635062,14125000,31631,2053821,164974,602243,4534819,10901190
611.80067,78797528,253103556,216921810,52523546,21073424,299885,636868,2153537,2325659,192480,611281,178094,1602558,321053,82246,1611747,13735172,3196236
612.271552,5155660,31970418,358747,602655202,12352070,4208279,64229,166382590,723818,517315,3083798,372616725,5143,233137,339384,314653358,11283951,14802875
612.310034,62461206,320543,33908341,1757265,32383791,4338218,428941,99489867,924576,17264896,3086421,4168897,682752,15977163,6908084,206271338,89271276,7130380
614.322918,10217629,7223134,6555455,11220738,34396581,5124431,1024109,743763194,24246105,86472697,3747745,19478604,48667193,1038089579,62095211,26758394,17297967,9115023
615.289504,9255440,24745138,36204911,9038792,22149353,3144815,355698,475229686,2034862,198803811,2713613,65683230,0,580517205,1328971,809497,1349057264,27685730
615.38999,19000173,0,5789200,0,507692,20637002,0,0,0,0,500434,0,0,0,0,0,0,1792464
615.773514,7705226,4167828,6199568,4392634,281543582,4952978,0,1376188,13270202,966073,813220,451281386,50674,0,954671,1411954,34867960,1274188
615.820097,34184815,70993840,12336008,12713910,13121940,2813223,1886871,2423612,21895,4185115,2827870,43779003,0,97798,11156,144206,18253840,6358876
615.832609,911202,5792970,5404870,798779,313463589,2324714,263738,4567963,1432187,2725085,359624,7179406,13688798,4744566,6362224,986014,4782548,54054884
615.836846,2359966,82158,414723,0,960704,18701038,9726,22779190,170364,16401896,3955793,1853547,106481,5463121,57125,104932,14967050,8503690
617.306036,247598602,11572143,214938532,3121254,32750882,2538641,349725,7485254,2401891,6503456,3888111,22122933,177698,2136758,1786849,7421509,24620644,26295964
617.805119,1089508,687586738,20310,406388755,1020332484,0,8579,89329253,22719,0,0,141658832,27748,9656,5059,94066086,1392504,102934
617.824664,2154591,77499593,598691,155808105,5883392,10471607,591916,217540077,273126,313174294,231183,60390753,5258357,64058041,152322,351505,7207509,0
618.306489,3710568,406229997,1152172,229616893,652222332,6952149,2970,69602556,12041,46181,5968382,116266650,4307,100716,10451,53163170,1763351,16789756
