id,name,fold,tstat,pvalue,anova,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,b1,bcg,ppd,T035B1_not_identified,T090B1_not_identified,T142B1_not_identified,T163B1_not_identified,T164B1_not_identified,T165B1_not_identified,T035BCG_not_identified,T090BCG_not_identified,T142BCG_not_identified,T163BCG_not_identified,T164BCG_not_identified,T165BCG_not_identified,T090PPD_not_identified,T142PPD_not_identified,T163PPD_not_identified,T164PPD_not_identified,T165PPD_not_identified,isotopes
2151,M391T1291,3.22942800077318,-0.717420595894503,0.503700793735919,0.507780109441866,391.206174889757,391.205959430764,391.208292613647,1291.49952,1285.70778,1294.72098,4,0,1,3,1672097.8861661,1354608917.48373,33852993.0893261,20622207.3397962,1750315.41048285,1425100.45204172,159955017.079064,76523862.7652373,639087.765905734,335299.229640796,199495234.34631,878764.609215773,12403526.2060359,8886618.01575387,8343306.79235927,564491.641961872,773524.227232459,
2152,M478T1241,2.59236365036482,-0.713953053051925,0.503884722679182,0.724207221463922,478.270246358345,478.269949475653,478.270519340765,1240.9422,1237.2555,1246.45698,5,3,1,1,11979836.2966046,92085.1756035672,41456979.9584128,336331922.370358,2162115.75699843,3303.4101609375102,81872922.8989812,296466.656836876,43443494.0320666,28354.5003237264,25447163.4278559,135074.755472405,153225288.421563,11416901.3807361,2614311.65915286,54440.4399216247,160628.357716135,
2153,M679T1332,1.72874715788769,0.694774787983685,0.503934953831517,0.60158999562962,678.664915484672,678.664583358109,678.665308588744,1331.85273,1327.86642,1333.27626,6,1,2,3,418687.377596456,0,3616897.13775622,0,0,1415998.24977857,4412591.70840043,81634.6786140765,0,4472.13907373984,2205007.66732025,2720702.01780165,3447697.25885284,67874.7316520194,0,3072048.53831575,3017630.6866101,
2154,M585T1465,2.31207641142687,-0.714177774735679,0.504033446981338,0.66794071317368,584.764722870934,584.763646615238,584.764749684876,1465.37235,1457.70246,1469.03982,4,0,1,3,256685.065560069,648709.70088796,64588.757481708,32352890.9552673,6211848.13344191,875728.180836282,715911.080526416,1179049.44597204,4383283.52347651,0,3158635.18536111,8041111.80066796,10468300.5075706,3495470.04398203,9368647.92179177,7306821.56261248,2040371.00558693,
2155,M670T4660_2,1.96850145246793,-0.709394721105795,0.504557186088086,0.45705161072458,670.386601826772,670.384794849373,670.386998925921,4659.66858,4653.19122,4664.88156,5,2,3,0,80807.5099434821,0,14071136.8295536,0,0,23574533.6320316,0,855609.613718816,0,7190903.10675978,6240581.18382885,4877981.09435747,0,0,0,1527769.8104624,5108463.36552343,
2156,M599T2279,2.21898588323843,0.699375930652663,0.505206646733873,0.630600790724528,598.592982385581,598.590700882492,598.593330923613,2278.83003,2270.58828,2286.44886,6,2,3,1,2672607.23458118,4594322.46274652,1590492.52463977,15242182.5353553,3837457.83421845,148492226.010665,1340773.51496112,76505016.2735436,7602141.7797273,16013799.0430866,5413045.59831191,284619324.588464,10672524.7717985,1319363.72157926,17397499.2254113,250623540.412734,140021118.49869,
2157,M786T6226,2.64798706801813,-0.715865836340866,0.505411777121341,0.681871141864555,786.398525257219,786.397987808643,786.39936645426906,6225.8301,6218.2098,6228.2916,6,1,3,2,7885058.70510889,18772781.3726859,306094872.179171,4385918.22920398,0,8324118.6823094,2915239.74733042,21357102.7587749,11241171.3189828,35951480.9387995,35606017.597748,23391388.0559914,16291877.1333204,5413756.7255603,563266.479666967,174241226.037764,112713119.680031,
2158,M586T1303,3.50367927732646,-0.715005976856616,0.505548839969464,0.5244702840064,586.337552034956,586.337359856152,586.337761208663,1303.4601,1302.67218,1307.89578,7,2,2,3,502435.843438479,1389597538.8713,4947099.3269625,4305050.7388584,287653.66416035,828192.159058941,49314019.6096545,166921639.355241,916613.172179998,8135.73345509763,27894081.2812309,154659029.053715,12001291.801308,421654.915711657,1102989.21260927,3135634.3307248,8364613.65202852,
2159,M645T1868,1.58628105249937,0.702767658601162,0.50557073670399,0.1258080785,645.256706761692,645.25668258426,645.257411766529,1868.41506,1864.19202,1871.3481,3,0,0,3,127688.123783369,3110021.98860409,1613498.20371838,454779.704672595,2730115.273697,979068.46055801,442796.390740541,3691210.66746961,524412.227484922,224830.440095625,1936887.84363962,7480458.57060674,107057.962017273,878287.010122755,4521374.91250322,13743108.7920443,13679319.8101986,
2160,M797T8020,2.79469020628714,-0.714110577247084,0.506032793485363,0.667062013753765,796.740147441438,796.740004599649,796.740995074913,8019.6186,8012.0868,8028.2874,5,1,3,1,453918.404565003,832451.708165021,52237150.7909247,1802188.72032448,0,2153611.43154914,912645.515894393,570475.749499778,5067111.82691382,8106609.24452279,3205361.40632103,2705128.16584424,522254.906121505,1258811.53665328,500197.150235763,14939291.461541,1083423.85783353,
